Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,IN,2015,"8         ",Female,15,Right-Handed,175,24,161,1,Car,25,.418,40,Running/Jogging,80,70,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CO,2014,"11        ",Male,16,Right-Handed,83,27,91,1,Car,21,.079,42,Running/Jogging,626,551,626,791,824,829,27,"Right foot",10,10,"Same length",April,Winter,Yes,No,"No favorite",,"Mathematics and statistics",7,8,5,"Yes - broadband connection","In person",3,5,1,1,7,3,5,8,3,1,9,0,0,7,"A lot","Graduate degree","Rock and roll",Invisibility,Healthy,"Musician or singer",Health
USA,NC,2019,"12        ",Male,17,Right-Handed,164,21,164,2,Bus,7,0.28,32,Other,845,743,578,791,850,904,21,"Same length",7.5,7,"Index finger",December,Winter,Yes,No,"Rice/Noodle dishes",Milk,,6,7,4,"Yes - broadband connection","In person",20,40,1,0.5,24,0,7,10,5,2,34,0,0,5,"A lot","Undergraduate degree","Rap/Hip hop","Freeze time",Happy,"Doctor or nurse",Environment
USA,MA,2014,"12        ",Female,17,Left-Handed,165,23,166,1,Car,10,.487,37,Other,200,300,500,800,300,900,23,"Same length",700,700,"Same length",June,Summer,Yes,No,Desserts,Water,"Mathematics and statistics",4,12,2,"Yes - broadband connection","In person",20,50,10,7,50,2,4,1,7,7,5,30,0,6,"A lot","Graduate degree",Pop,Telepathy,Healthy,Friend,Health
USA,AR,2017,"6         ",Male,11,Right-Handed,156,6,153,2,Car,2,0.341,34,Swimming,200,500,300,600,1000,1000,6,"Same length",6,6,"Same length",March,Winter,,No,Seafood,Other,Art,9,3,4,"Yes - other","Text messaging",100,120,2,3,6,9,1,0,1,2,0,2,0,5,"A lot","High school","Rap/Hip hop","Super strength",Happy,Actor,"Wildlife, animals"
USA,PA,2010,"12        ",Male,18,Right-Handed,177,26,181,2,Car,18,0.157,37,Other,100,250,15,,1000,1000,26,"Same length",70,75,"Ring finger",March,Spring,No,No,Seafood,Tea,"Physical education",4,8,4,"Yes - broadband connection","In person",100,99,8,0,0,5,12,2,4,6,10,11,0,1,None,"Undergraduate degree",Other,Fly,Famous,Relative,"Education/Youth development"
USA,NY,2019,"12        ",Male,17,Right-Handed,162.5,22,155,3,"Rail (Train/Tram/Subway)",70,0.325,52,Gymnastics,1000,1000,112,155,1000,1000,21.5,"Right foot",70,63,"Index finger",July,Fall,No,No,"No favorite",Juice,"Physical education",6.5,9,4,"No internet connection","Text messaging",0.5,4200,30,2,3,4,21,12,13,23,11,17,10,1,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,Other
USA,PA,2014,"4         ",,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2014,"12        ",Male,17,Right-Handed,193,35,180,2,Car,10,.75,48,Soccer,600,700,400,200,1000,600,33,"Right foot",70,80,"Ring finger",May,Summer,No,No,"No favorite",Water,Science,8.5,12,4,"Yes - broadband connection","Text messaging",50,40,30,10,10,50,15,0,10,10,15,5,25,5,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,"Arts, culture, sports"
USA,CA,2015,"12        ",Female,17,Right-Handed,170,24,"160 ",2,Car,25,.386,42,Basketball,900,950,1000,1000,700,1000,22,"Right foot",80,70,"Index finger",September,Fall,Yes,No,Seafood,Water,History,6,8,3,"Yes - broadband connection","Text messaging",50,80,10,5,20,7,5,0,7,,20,2,0,5,"A lot","Graduate degree","Punk rock",Telepathy,Happy,Politician,Other
USA,MI,2013,"12        ",Female,17,Right-Handed,175,24,154,1,Car,20,.366,31,Other,743,701,679,674,305,305,23,"Right foot",85,80,"Index finger",August,Summer,Yes,No,Salads,Water,Science,9,11,4,"Yes - broadband connection","Text messaging",120,125,20,5,20,10,7,0,6,50,10,15,12,6,Some,"Graduate degree",Pop,Telepathy,Rich,Relative,Religious
