Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,KY,2015,"6         ",Female,11,Right-Handed,167,28,170,1,Bus,45,1567,44,Walking/Hiking,471,882,1000,930,187,187,25,"Right foot",8,7,"Index finger",September,Summer,Yes,No,Fruit,Juice,Music,10,8,6,"No internet connection","In person",0,0,20,0,0,0,0,0,0,0,0,1,0,0,"A lot","Graduate degree",Country,Fly,Healthy,Relative,"International aid"
USA,KY,2015,"6         ",Male,11,Right-Handed,160,23,160,1,Bus,25,.356,49,Athletics,1000,1000,1000,600,300,200,24,,9,9,"Ring finger",April,Summer,No,No,Pizza/Pasta,Water,"Physical education",9,7,4,"Yes - other",Telephone,3,4,2,1,1,1,1,1,1,1,2,2,0,0,"Very little","Graduate degree",Pop,"Super strength",Healthy,"Sports person","Arts, culture, sports"
USA,KY,2012,"6         ",Female,12,Right-Handed,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,KY,2015,"6         ",Female,12,Right-Handed,5.2,24,161,1,Bus,90,0.486,38,Swimming,1000,1000,1000,1000,0,0,23,"Right foot",8,7,"Index finger",August,Summer,Yes,No,Meat,Milk,,10,8,4,"Yes - broadband connection","Text messaging",15,20,5,4,5,48,10,17,20,4,5,24,0,2,"A lot","Graduate degree",Pop,Fly,Healthy,Relative,Health
USA,KY,2015,"6         ",Female,12,Right-Handed,150,23,152,1,Bus,90,0.349,51,Gymnastics,471,21,182,818,0,0,22,"Right foot",8.5,9.6,"Ring finger",November,Summer,No,No,Fruit,Milk,"Mathematics and statistics",7,9,5,"No internet connection","Myspace, Facebook, other social networking sites, or blog",7,8,20,3,4,8,2,0,10,3,6,10,0,0,Some,"Graduate degree",Country,Telepathy,Famous,Relative,"Education/Youth development"
USA,KY,2015,"6         ",Female,11,Right-Handed,152,22,22,2,Bus,30,0.492,46,Other,1000,1000,1000,1000,32,0,22,"Same length",8.5,9,"Same length",March,Summer,No,No,"No favorite",Juice,"Mathematics and statistics",8,9,4,"Yes - other",Telephone,0,0,5,0,2,6,2,2,1,2,4,2,0,3,Some,"Graduate degree",Pop,Telepathy,Happy,"Doctor or nurse","Wildlife, animals"
USA,KY,2019,"12        ",Female,16,Right-Handed,"165 ",27,165,1,Car,15,0.384,20,Skateboarding/Rollerblading,818,1000,727,690,406,920,27,"Same length",70,80,"Ring finger",September,Summer,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",9,12,4,"Yes - broadband connection","In person",30,40,3,15,2,1,0,0,17,15,12,12,0,0,Some,Other,Pop,Fly,Rich,Relative,Health
USA,KY,2018,"10        ",Female,15,Right-Handed,160,22,157,1,Car,20,.408,53,Athletics,1,5,3,2,6,4,25,"Right foot",651,603,"Index finger",September,Summer,No,No,Pizza/Pasta,Water,Science,6.5,9,5,,"In person",25,60,5,1,20,3,14,0,2,1,2,4,10,3,"A lot","Graduate degree",Pop,"Freeze time",Happy,Friend,Religious
USA,KY,2013,"8         ",Male,45,Right-Handed,170,35,200,1,Boat,240,.441,73,Basketball,0,0,5,3,9,10,35,"Same length",8,10,"Ring finger",January,Summer,Yes,No,"No favorite","Sports drink","Mathematics and statistics",8,10,4,"Yes - other","Text messaging",100,200,8,1,0,3,8,1,2,3,1,4,6,0,Some,"Graduate degree","Rap/Hip hop",Telepathy,Famous,"Business person",Other
USA,KY,2018,"10        ",Female,15,Right-Handed,157,20,147,1,Car,30,.961,64,Lacrosse,600,600,700,600,500,900,19,"Right foot",46,50,"Ring finger",February,Winter,No,No,Meat,Water,English,6,7,4,"Yes - broadband connection","Text messaging",20,200,4,.2,10,8,7,0,7,5,3,10,0,3,"A lot","Graduate degree",Reggae,Fly,Happy,Other,Environment
